
2023/10/03 (20:47:54) | ===> btop++ v.1.2.13
2023/10/03 (20:47:54) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2023/11/05 (01:26:25) | ===> btop++ v.1.2.13
2023/11/05 (01:26:25) | ERROR: Failed to get size of terminal!

2023/12/02 (16:23:31) | ===> btop++ v.1.2.13
2023/12/02 (16:23:31) | ERROR: Stall in Runner thread, restarting!
2023/12/02 (16:23:37) | ERROR: Stall in Runner thread, restarting!
2023/12/02 (16:23:43) | ERROR: Stall in Runner thread, restarting!

2024/01/09 (21:30:18) | ===> btop++ v.1.3.0
2024/01/09 (21:30:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/09 (21:30:18) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/09 (21:30:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/09 (21:30:18) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/09 (21:30:18) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/01/10 (22:54:33) | ===> btop++ v.1.3.0
2024/01/10 (22:54:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/01/10 (22:54:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/01/10 (22:54:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/01/10 (22:54:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/01/10 (22:54:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/01/10 (22:54:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/02/23 (19:33:28) | ===> btop++ v.1.3.0
2024/02/23 (19:33:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/02/23 (19:33:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/02/23 (19:33:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/02/23 (19:33:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/02/23 (19:33:28) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/02/23 (19:33:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C

2024/07/06 (19:42:55) | ===> btop++ v.1.3.2
2024/07/06 (19:42:55) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/07/08 (23:09:45) | ===> btop++ v.1.3.2
2024/07/08 (23:09:45) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/07/09 (10:45:52) | ===> btop++ v.1.3.2
2024/07/09 (10:45:52) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/08/04 (22:07:09) | ===> btop++ v.1.3.2
2024/08/04 (22:07:09) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/08/04 (22:08:29) | ===> btop++ v.1.3.2
2024/08/04 (22:08:29) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/08/04 (22:11:57) | ===> btop++ v.1.3.2
2024/08/04 (22:11:57) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/08/05 (00:09:11) | ===> btop++ v.1.3.2
2024/08/05 (00:09:11) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/08/06 (15:22:38) | ===> btop++ v.1.3.2
2024/08/06 (15:22:38) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/08/06 (23:23:23) | ===> btop++ v.1.3.2
2024/08/06 (23:23:23) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/08/08 (17:30:16) | ===> btop++ v.1.3.2
2024/08/08 (17:30:16) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/08/08 (17:51:00) | ===> btop++ v.1.3.2
2024/08/08 (17:51:00) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/08/08 (17:58:41) | ===> btop++ v.1.3.2
2024/08/08 (17:58:41) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/08/09 (20:59:05) | ===> btop++ v.1.3.2
2024/08/09 (20:59:05) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/08/09 (20:59:52) | ===> btop++ v.1.3.2
2024/08/09 (20:59:52) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/08/09 (21:03:20) | ===> btop++ v.1.3.2
2024/08/09 (21:03:20) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.

2024/08/09 (21:03:33) | ===> btop++ v.1.3.2
2024/08/09 (21:03:33) | WARNING: Failed to set locale en_GB.UTF-8 continuing anyway.
